term;description;casesensitive;translatable;forbidden;tags;en-US;en-US_description;fr_FR;fr_FR_description
Get started by creating one;;no;yes;no;;Get started by creating one;;Créez-en un pour commencer.;
Give;;no;yes;no;;Give;;Offrir;
Give feedback;;no;yes;no;;Give feedback;;Donner du feedback;
Global currency;;no;yes;no;;Global currency;;Devise globale;
Global worker category;;no;yes;no;;Global worker category;;Catégorie d'employé(e) globale;
Go to feedback;;no;yes;no;;Go to feedback;;Aller au feedback;
Goal;;no;yes;no;;Goal;;Objectif;
Goal Achievement;;no;yes;no;;Goal Achievement;;Réalisation des objectifs;
Goal Alignment;;no;yes;no;;Goal Alignment;;Alignement des objectifs;
Goal Details;;no;yes;no;;Goal Details;;Détails de l'objectif;
Goal ID;;no;yes;no;;Goal ID;;ID de l'objectif;
Goal Overview;;no;yes;no;;Goal Overview;;Vue d'ensemble des objectifs;
Goal Plan;;no;yes;no;;Goal Plan;;Plan d'objectifs;
Goal Plans;;no;yes;no;;Goal Plans;;Plans d'objectifs;
Goal Status;;no;yes;no;;Goal Status;;Statut des objectifs;
Goal Tag Libraries;;no;yes;no;;Goal Tag Libraries;;Bibliothèques d'étiquettes d'objectifs;
Goal Types;;no;yes;no;;Goal Types;;Types d'objectifs;
Goal achievement;;no;yes;no;;Goal achievement;;Réalisation des objectifs;
Goal alignment;;no;yes;no;;Goal alignment;;Alignement de l'objectif;
Goal creator;;no;yes;no;;Goal creator;;Créateur de l'objectif;
Goal details;;no;yes;no;;Goal details;;Détails de l'objectif;
Goal name;;no;yes;no;;Goal name;;Nom de l'objectif;
Goal overview;;no;yes;no;;Goal overview;;Aperçu de l'objectif;
Goal owner;;no;yes;no;;Goal owner;;Titulaire de l'objectif;
Goal owner worker ID;;no;yes;no;;Goal owner worker ID;;ID de l'employé(e) titulaire de l'objectif;
Goal period;;no;yes;no;;Goal period;;Période d'objectifs;
Goal plan;;no;yes;no;;Goal plan;;Plan d'objectifs;
Goal plans;;no;yes;no;;Goal plans;;Plans d'objectifs;
Goal priority;;no;yes;no;;Goal priority;;Priorité de l'objectif;
Goal progress;;no;yes;no;;Goal progress;;Progression de l'objectif;
Goal status;;no;yes;no;;Goal status;;Statut de l'objectif;
Goal tags;;no;yes;no;;Goal tags;;Etiquettes de l'objectif;
Goal title;;no;yes;no;;Goal title;;Titre de l'objectif;
Goal tracking status;;no;yes;no;;Goal tracking status;;Statut de suivi de l'objectif;
Goal type;;no;yes;no;;Goal type;;Type d'objectif;
Goal type weight;;no;yes;no;;Goal type weight;;Poids du type d'objectif;
Goal types;;no;yes;no;;Goal types;;Types d'objectifs;
Goal weight;;no;yes;no;;Goal weight;;Poids de l'objectif;
Goal workflow;;no;yes;no;;Goal workflow;;Workflow de l'objectif;
Goals;;no;yes;no;;Goals;;Objectifs;
